"t","rx","ry","rz","theta","phi"
0,0.9999999999999998,0.,0.,1.5707963267948966,0.
"1/60",0.9945219564504861,0.10452573540044066,0.0005665069328736894,1.5702298198317213,0.10471703581054896
"1/30",0.97814951353531,0.20788999411617698,0.002262428371982539,1.5685338964928386,0.20941788991185376
"1/20",0.951066491851054,0.3089443325839153,0.005076954480506657,1.5657193505039917,0.31408707633692384
"1/15",0.913576970027938,0.4065662059177986,0.008992143470195002,1.5618040621382037,0.4187104943156863
"1/12",0.8661018898874013,0.4996716076315288,0.01398304207330714,1.556812829008023,0.5232761048165591
"1/10",0.809174373076572,0.5872270718113177,0.020017834911201626,1.550777154739068,0.6277743391402753
"7/60",0.7434338149657698,0.6682617001887385,0.027058084343352273,1.5437349396459543,0.7321988834315006
"2/15",0.6696181853090499,0.7418774434756661,0.035058900774790125,1.5357302400739952,0.8365469101226075
"3/20",0.5885562327898691,0.8072594217552339,0.04396927357601771,1.5268128732681656,0.9408193794389536
"1/6",0.5011583457415862,0.863685517056559,0.0537324478693067,1.517037989436512,1.0450213048990995
"11/60",0.4084057459605139,0.9105338041249411,0.06428619645853828,1.5064657683638212,1.1491618516787385
"1/5",0.31133967685531017,0.9472894920807673,0.0755632160920412,1.4951610168396248,1.2532543062224417
"13/60",0.2110499532335185,0.9735511603232982,0.08749161459380117,1.483192704394049,1.3573159698570398
"7/30",0.10866263597340736,0.9890361341068952,0.09999549562242144,1.4706334327021076,1.4613680090296826
"1/4",0.005326986331132932,0.993580645435231,0.11299502330372063,1.4575594603164739,1.5654349750860916
"4/15",-0.09779704787849436,0.9871453755129075,0.1264074605757361,1.444049781440166,1.6695446599642843
"17/60",-0.19955188773191113,0.96981269313665,0.14014722111954103,1.4301862250739095,1.773727356892211
"3/10",-0.29879561984723507,0.9417882715815766,0.1541268194118643,1.4160526748249278,1.8780155479592482
"19/60",-0.39441436882410374,0.9033968141814525,0.1682570934153681,1.401735039809079,1.9824430388021193
"1/3",-0.4853353382379276,0.8550797076609359,0.18244802535900162,1.3873206322092182,2.0870445363518133
"7/20",-0.5705384149665317,0.7973893527059266,0.19660915456145212,1.372897958510233,2.1918546581678036
"11/30",-0.6490678932864486,0.7309830790883435,0.21065021468130757,1.3585562752356983,2.2969074139811108
"23/60",-0.720043258225768,0.6566161297080798,0.22448175594785547,1.3443851401504487,2.4022351494501573
"2/5",-0.7826686407073927,0.5751323578692161,0.23801555240996636,1.3304741543559218,2.5078679611296417
"5/12",-0.8362426926565666,0.4874558878536367,0.25116545163911735,1.316912210983646,2.6138326367586493
"13/30",-0.8801649857736539,0.39457934210511036,0.2638475040471746,1.303787435744645,2.7201520433214714
"9/20",-0.913944749596968,0.2975541671550175,0.275981030486952,1.29118610357459,2.826844132959897
"7/15",-0.9372035613086015,0.197477315620569,0.2874884074432488,1.2791928199412173,2.933921410186011
"29/60",-0.9496852654218055,0.0954806471321827,0.29829698994304177,1.2678884124820193,3.041390115832913
"1/2",-0.9512479511138833,-0.007283882408370544,0.3083368268463375,1.2573521488854977,-3.133935617327642
"31/60",-0.9418810983618651,-0.10965537663209694,0.31754505173032976,1.2476569094004513,-3.025692733775345
"8/15",-0.9216893024473529,-0.21047761440535218,0.3258620670475543,1.2388729042395341,-2.917081759930332
"11/20",-0.8909042707770725,-0.30861268734676806,0.33323537211572,1.2310633189944609,-2.808125098621514
"17/30",-0.849875098427495,-0.40295302343728834,0.33961800386571206,1.224285594483374,-2.6988527239019717
"7/12",-0.7990641555653384,-0.4924330946100651,0.3449687044636511,1.2185908841813853,-2.5893013344901967
"3/5",-0.7390489037734751,-0.5760449826433387,0.34925437499569106,1.2140210752767993,-2.4795140329331433
"37/60",-0.6705037249896111,-0.6528427352648857,0.3524464639302884,1.2106122930239718,-2.3695394016324802
"19/30",-0.5942057059532211,-0.7219625738426795,0.3545258037903692,1.208389444957985,-2.259430361392656
"13/20",-0.5110141297377784,-0.7826225205969837,0.35547831439944805,1.2073705704257043,-2.1492432427103574
"2/3",-0.4218686134768395,-0.8341389770168778,0.3552982464133148,1.207563214452146,-2.039036045563645
"41/60",-0.32777557618418723,-0.8759313625711007,0.3539870080405102,1.208965605705224,-1.928867506028725
"7/10",-0.229795757361968,-0.9075253181022686,0.35155215900737724,1.211567746788887,-1.8187951937795024
"43/60",-0.12903604993640605,-0.9285677768660977,0.3480103581837888,1.2153483670977476,-1.7088745151757478
"11/15",-0.026632737325500866,-0.9388160357754685,0.34338281747650296,1.2202799654516003,-1.599157150820555
"3/4",0.07625788407377071,-0.9381579991369318,0.33770024373579693,1.2263237940525002,-1.4896899497951648
"23/30",0.1784744547371367,-0.9265991776467908,0.3309985796398964,1.2334347169926407,-1.380514252887247
"47/60",0.27886218077552755,-0.904265530908497,0.3233196184452053,1.2415608964916816,-1.2716644771560095
"4/5",0.3762884568680939,-0.8714132269373565,0.31471383766995814,1.2506411694566517,-1.1631683210909456
"49/60",0.4696508095638838,-0.8284066243005898,0.3052347431876447,1.260611400035033,-1.0550459665260834
"5/6",0.5578944053733554,-0.7757310119177883,0.2949432429693558,1.2714002080969835,-0.9473099776612864
"17/20",0.6400224565102879,-0.7139808436298664,0.28390554558651554,1.2829315131440477,-0.839965951599027
"13/15",0.71510166631508,-0.6438463930929302,0.27219059202253,1.2951274791221254,-0.7330119970502743
"53/60",0.7822850971995446,-0.5661210300195251,0.25987443080499034,1.3079041631123722,-0.6264398722003184
"9/10",0.8408085961186416,-0.48167776478135926,0.24703496015001908,1.321177146738392,-0.5202354078011194
"11/12",0.890005243823383,-0.39146623326229546,0.2337536047295628,1.3348598661090494,-0.4143787748250839
"14/15",0.9293187765791554,-0.29650430757006285,0.22011612084463061,1.3488628174268706,-0.3088459824378088
"19/20",0.9582938885839247,-0.1978590349031972,0.20620819985873218,1.3630980431739737,-0.20360899861526352
"29/30",0.9765997923642107,-0.09664236046922178,0.19211919896181207,1.3774752092242526,-0.09863686143241064
"59/60",0.9840230055344654,0.006005774511791864,0.17793908363216593,1.391904612668034,0.00610321090844754
1,0.9804662285702005,0.10892922884996725,0.16375731136482352,1.4062981412257878,0.11064567214517526
"61/60",0.9659662511196667,0.2109686049334304,0.14966536397094898,1.4205665107629164,0.21502521546819403
"31/30",0.9406726824328402,0.3109735397104773,0.13575237624877456,1.4346234975356649,0.31927622681995754
"21/20",0.9048599783013044,0.407816550327334,0.12210701138917918,1.4483838228037031,0.4234323651987667
"16/15",0.8589244044362532,0.5004072349508019,0.10881686885537356,1.4617635533991524,0.5275252781214346
"13/12",0.8033658392762248,0.5876978620008604,0.09596561610839005,1.4746827992681837,0.6315845843261958
"11/10",0.73880293306187,0.6687061729625475,0.08363593894702726,1.4870625744920398,0.7356372818102549
"67/60",0.6659526189509131,0.7425198054706408,0.07190678860969935,1.498827426849259,0.8397065719626413
"17/15",0.5856163785897752,0.8082983672175009,0.060851749867551375,1.5099069591932688,0.943812530076232
"23/20",0.4986895684888852,0.8653014429656127,0.05054190408335352,1.5202328798569873,1.0479714298664546
"7/6",0.4061401518617991,0.9128877872644982,0.04104348451548129,1.5297413101144086,1.1521949636899833
"71/60",0.30899292015119334,0.9505099763532805,0.032416062943563195,1.5383745840258596,1.2564909902411134
"6/5",0.20832974364799822,0.9777423388117665,0.024714931312554755,1.5460788786958422,1.360863487852005
"73/60",0.10527168098071071,0.9942796286214357,0.017989791547038225,1.5528055647593466,1.4653119769430432
"37/30",0.0009638927335645087,0.9999228712609378,0.012282738894229761,1.5585132790390828,1.5698323600103494
"5/4",-0.10343243066890151,0.9946032925857549,0.007630189343874605,1.5631660634110793,1.6744175086840747
"19/15",-0.20675638718794032,0.9783824375531793,0.004062477532499886,1.5667338380879792,1.7790569424127933
"77/60",-0.3078578280114665,0.9514301740833938,0.0016017511755861968,1.569194574934399,1.8837376899763105
"13/10",-0.40561117599242413,0.9140415090000807,0.00026351479292846536,1.5705328119989184,1.9884454146263675
"79/60",-0.4989327345115785,0.8666384273974665,0.00005703139673818303,1.5707392953981274,2.0931643088118133
"4/3",-0.5867834920039311,0.8097427218914512,0.0009831792371575165,1.569813147399342,2.1978778430191728
"27/20",-0.6681849455581405,0.7439841296009173,0.0030356749630219837,1.5677606471694012,2.302570234860825
"41/30",-0.7422395515290965,0.6701023673886466,0.006202227170444885,1.5645940598596084,2.4072264329479642
"83/60",-0.8081244676866767,0.5889185350515009,0.010462359344120042,1.5603337765713858,2.511832584191088
"7/5",-0.8651053625681331,0.5013348828150597,0.01578833460366935,1.5550073361873058,2.616377607316991
"17/12",-0.9125607028128652,0.40833429411286243,0.022147059266150237,1.548647456635585,2.720853107785809
"43/30",-0.9499670276609767,0.31095415005697413,0.029497864665753937,1.5412941826531805,2.8252534227983723
"29/20",-0.976907344424656,0.21027978640068418,0.03779309912051276,1.5329942251240805,2.9295770814228823
"22/15",-0.9930979326843293,0.10743855239128597,0.04698079223677887,1.5237982347427472,3.033826528414366
"89/60",-0.9983676020105645,0.0035791068570833195,0.05700242881731321,1.5137629833077901,3.138007710010712
"3/2",-0.992658588352761,-0.10013813327122267,0.06779311774308427,1.502951172885507,-3.04105405173687
"91/60",-0.97605271914089,-0.20255409391035428,0.07928498071433021,1.4914280445649117,-2.9369733226012213
"23/15",-0.9487482818876646,-0.3025251461906557,0.09140505276679922,1.4792635133374308,-2.8329172037942736
"31/20",-0.9110528699638731,-0.3989317758965506,0.1040748703843517,1.4665326521594246,-2.7288633561596445
"47/30",-0.8634051108584263,-0.4906986244812894,0.1172144880451585,1.4533117593302578,-2.6247858552923904
"19/12",-0.8063525407441983,-0.5768028738833489,0.1307407372696459,1.4396802334607042,-2.520656361627283
"8/5",-0.7405375302163013,-0.6562782946498126,0.1445660384677963,1.4257219369840826,-2.416443848860313
"97/60",-0.6667114657165678,-0.7282399687431245,0.15860287578126187,1.4115208702607367,-2.312115071737938
"49/30",-0.5857155247971129,-0.7918893759172638,0.17276271832703838,1.397162449432648,-2.207636011309537
"33/20",-0.49846241893797494,-0.8465109300371707,0.1869538691986986,1.3827359026793173,-2.102972093715728
"5/3",-0.405941466377251,-0.8914977852684355,0.20108614480509468,1.3683297384288067,-1.9980884938854209
"101/60",-0.3092022077631014,-0.9263563890385145,0.2150707988047908,1.3540320022249852,-1.8929517141970382
